"Station","Latitude","Longitude"
"086106","-37.8325"," 145.4370"
"006079","-25.0881"," 114.3836"
"007111","-24.2008"," 116.4750"
"051048","-32.0322"," 147.9826"
"043039","-27.3442"," 148.8781"
"040916","-27.3800"," 153.1706"
"040805","-26.8447"," 152.8806"
"040863","-27.7914"," 153.2739"
"095053","-42.6817"," 146.5825"
"010287","-31.5261"," 117.5631"
"069118","-35.5563"," 149.6414"
"014172","-12.4509"," 130.9575"
"066087","-33.7933"," 151.0862"
"040272","-25.9283"," 152.9933"
"031022","-17.1492"," 145.1086"
"040080","-28.2619"," 153.0178"
"002018","-17.1792"," 128.1217"
"040003","-26.3664"," 152.6236"
"029071","-18.2281"," 139.8739"
"073027","-34.7902"," 148.2632"
"072166","-35.3860"," 147.3137"
"070317","-35.5368"," 148.8383"
"040721","-26.0933"," 152.0522"
"044104","-26.1411"," 146.3950"
"041080","-27.1461"," 151.6950"
"018065","-33.8663"," 136.3833"
"014058","-12.7809"," 130.9663"
"037026","-22.2806"," 143.2200"
"086143","-37.9289"," 145.4272"
"032158","-17.9392"," 145.9250"
"040570","-27.6964"," 152.3569"
"079106","-36.9031"," 142.3583"
"027068","-13.7119"," 141.5547"
"086382","-37.7839"," 145.6317"
"030152","-20.8731"," 143.8556"
"004092","-20.9786"," 117.0953"
"022045","-34.5763"," 137.8770"
"086339","-38.4272"," 145.4364"
"059109","-30.8781"," 152.8207"
"039196","-24.7000"," 152.2500"
"089078","-37.5933"," 142.7992"
"035110","-23.9103"," 147.1575"
"008279","-30.6689"," 117.2103"
"028018","-15.1994"," 143.8556"
"039224","-25.3708"," 150.5483"
"039145","-24.6750"," 150.4939"
"045016","-26.0833"," 143.7261"
"030047","-20.0356"," 142.4914"
"010024","-31.1631"," 116.8575"
"035202","-25.0997"," 149.7278"
"046029","-29.0162"," 142.1559"
"046038","-30.4921"," 143.7456"
"012080","-33.5742"," 121.6467"
"067000","-33.8022"," 150.8479"
"041004","-28.2675"," 152.0539"
"012321","-28.6172"," 118.8289"
"040702","-27.7641"," 152.5374"
"012294","-33.4133"," 121.1442"
"022041","-35.0319"," 137.0951"
"040461","-27.3947"," 152.9308"
"033139","-19.4597"," 146.1100"
"014162","-12.3990"," 130.8508"
"040291","-27.6192"," 153.3056"
"040404","-28.2633"," 152.8800"
"090009","-37.8611"," 141.8011"
"007021","-27.3839"," 117.7453"
"036021","-24.7208"," 144.4981"
"008091","-30.6417"," 116.0072"
"012260","-33.5222"," 121.0786"
"033097","-20.2392"," 148.0031"
"055252","-31.7199"," 150.7859"
"008268","-27.9700"," 114.9686"
"040274","-27.5553"," 153.0797"
"093019","-42.1933"," 147.4778"
"035096","-25.4875"," 150.0064"
"018093","-34.1216"," 136.2421"
"038008","-23.7642"," 141.1414"
"035013","-23.6481"," 147.2900"
"073147","-35.0875"," 148.3967"
"023893","-34.9940"," 138.8522"
"036163","-23.4894"," 144.9889"
"094187","-43.0225"," 147.4167"
"031130","-17.4383"," 145.7197"
"087024","-38.1269"," 144.3422"
"058060","-28.5988"," 153.3783"
"009163","-31.8511"," 115.9942"
"070026","-37.0434"," 148.9425"
"030033","-20.7192"," 142.6806"
"085062","-38.2347"," 146.4306"
"014287","-12.5015"," 130.9642"
"061354","-33.4690"," 151.1663"
"019104","-33.0371"," 138.6003"
"024028","-34.0849"," 140.6934"
"055091","-30.6490"," 150.7517"
"068034","-35.0936"," 150.8048"
"006007","-26.2739"," 115.2578"
"040755","-26.5575"," 152.7714"
"082136","-36.7864"," 145.6081"
"010890","-33.6467"," 120.4319"
"040368","-27.5247"," 153.0633"
"014624","-14.5552"," 133.1162"
"041199","-27.2625"," 151.6297"
"034006","-21.3853"," 147.3414"
"012164","-30.2633"," 119.2458"
"004027","-21.8861"," 120.1103"
"081026","-36.8339"," 143.8917"
"070020","-34.5558"," 149.8331"
"080005","-36.0261"," 143.8617"
"083017","-37.3014"," 146.1406"
"030002","-17.8131"," 144.3989"
"033311","-23.3378"," 150.5381"
"093039","-42.1283"," 147.3500"
"063228","-33.7394"," 150.2264"
"085256","-37.5125"," 146.5478"
"015596","-22.9028"," 134.0500"
"038043","-24.6800"," 142.3850"
"015036","-19.2961"," 136.0711"
"010649","-33.5253"," 117.6456"
"039100","-24.5536"," 152.0128"
"088000","-37.2514"," 145.7178"
"061013","-31.9833"," 150.3333"
"086098","-38.3686"," 145.0303"
"063044","-33.7249"," 150.4316"
"029168","-16.5556"," 141.8286"
"061400","-32.1315"," 150.3639"
"014291","-12.8038"," 132.1234"
"010849","-34.2647"," 118.8281"
"036072","-22.1042"," 147.1419"
"041205","-28.1203"," 151.4725"
"055162","-31.1728"," 151.1958"
"012053","-31.3125"," 119.1281"
"037097","-23.3211"," 143.1706"
"073018","-34.8154"," 147.7378"
"073033","-34.6437"," 147.7043"
"073143","-34.2900"," 147.6802"
"014052","-13.3319"," 131.0529"
"040697","-27.2450"," 153.1006"
"040420","-26.5300"," 153.0897"
"082069","-36.5531"," 146.4583"
"091007","-41.0067"," 147.3917"
"010063","-31.5136"," 116.4583"
"044178","-28.2503"," 148.4644"
"022004","-35.0875"," 137.7433"
"092037","-40.7314"," 148.1253"
"039126","-24.9733"," 151.9333"
"044216","-28.3178"," 148.5106"
"035281","-25.9514"," 149.6981"
"018187","-32.9587"," 136.4891"
"076009","-35.2339"," 141.3828"
"045051","-25.7911"," 143.7036"
"014221","-12.7546"," 130.8753"
"079089","-36.8303"," 143.1058"
"036069","-22.3350"," 144.0569"
"014402","-12.1239"," 134.9078"
"040176","-26.3650"," 152.8533"
"083008","-36.8064"," 146.6250"
"086125","-37.5050"," 145.1247"
"040229","-27.4992"," 152.9769"
"046039","-29.7258"," 143.7607"
"074232","-34.8919"," 145.7761"
"092125","-41.3319"," 148.3047"
"040796","-27.5875"," 153.0094"
"035192","-23.3283"," 148.7853"
"014180","-11.5472"," 132.9255"
"007151","-23.3683"," 119.7314"
"008284","-30.8350"," 116.1581"
"063125","-34.4402"," 149.7299"
"036131","-23.6367"," 144.0478"
"074114","-35.1311"," 147.3091"
"010038","-31.0064"," 118.1975"
"006042","-24.4117"," 115.3958"
"018100","-32.8633"," 136.4346"
"009516","-33.5506"," 115.5717"
"091066","-40.9936"," 145.6114"
"061011","-32.9456"," 151.6267"
"045044","-26.6147"," 144.2828"
"033293","-21.1606"," 148.0097"
"010914","-34.2064"," 117.7117"
"029165","-18.6517"," 139.2539"
"035075","-24.0747"," 147.7372"
"009895","-33.7878"," 123.1878"
"048231","-30.0905"," 147.5481"
"036095","-21.8497"," 146.0014"
"035196","-23.0383"," 148.6444"
"026071","-37.2068"," 140.1609"
"036079","-21.3614"," 145.1717"
"040302","-27.6242"," 152.1158"
"041274","-28.3144"," 152.1142"
"014841","-16.8141"," 131.2195"
"093013","-42.3750"," 147.2864"
"039247","-25.1253"," 150.7917"
"012032","-29.0869"," 121.6753"
"010572","-34.2675"," 118.5064"
"094062","-43.0669"," 147.2531"
"044060","-28.2567"," 147.2544"
"040241","-27.3617"," 152.8861"
"036048","-21.6039"," 144.9033"
"058037","-28.8070"," 153.2628"
"023027","-34.8744"," 138.6858"
"074108","-34.6313"," 146.0941"
"039098","-23.6211"," 150.1569"
"040869","-26.6656"," 152.4594"
"040802","-26.5972"," 152.7269"
"040806","-26.3664"," 152.8528"
"030123","-20.8217"," 143.5767"
"086324","-37.8797"," 145.2964"
"030084","-17.3908"," 144.1811"
"023808","-35.3001"," 138.6415"
"014830","-17.5987"," 131.5444"
"041200","-27.0278"," 151.3139"
"046051","-29.4850"," 143.5228"
"041135","-27.3008"," 150.7392"
"010806","-33.2706"," 118.2606"
"039008","-23.7431"," 149.7831"
"044011","-26.8175"," 147.6672"
"023007","-34.5342"," 138.4347"
"040062","-26.8094"," 152.8700"
"040124","-27.5675"," 152.6053"
"027060","-14.7947"," 142.4333"
"002065","-17.3936"," 126.2281"
"023849","-35.5147"," 138.7989"
"026094","-36.9563"," 139.9947"
"033026","-21.1436"," 148.6322"
"069027","-36.7297"," 149.9856"
"010648","-32.6814"," 116.6756"
"025559","-34.5934"," 140.5213"
"040855","-28.0283"," 153.1767"
"015561","-23.2674"," 131.2733"
